"";"Фамилия";"ДатаРазмещения";"стоимость";"Марка";"Категория";"Клиент";"СтранаПолучателя";"СтранаПоставщика";"Цена"
"1";"Бабкина";1996-08-05;5654,39999556541;"Guarana Fantastica";"Напитки";"QUICK-Stop";"Германия";"Бразилия";202,5
"2";"Крылова";1996-08-08;3720;"Guarana Fantastica";"Напитки";"Tortuga Restaurante";"Мексика";"Бразилия";202,5
"3";"Белова";1996-11-19;5951,99997782707;"Guarana Fantastica";"Напитки";"LILA-Supermercado";"Венесуэлла";"Бразилия";202,5
"4";"Воронова";1996-12-20;3968;"Guarana Fantastica";"Напитки";"Bottom-Dollar Markets";"Канада";"Бразилия";202,5
"5";"Бабкина";1997-02-18;3472;"Guarana Fantastica";"Напитки";"Blondel pere et fils";"Франция";"Бразилия";202,5
"6";"Крылова";1997-02-19;3967,99998521805;"Guarana Fantastica";"Напитки";"Victuailles en stock";"Франция";"Бразилия";202,5
"7";"Новиков";1997-03-18;4711,99999630451;"Guarana Fantastica";"Напитки";"Victuailles en stock";"Франция";"Бразилия";202,5
"8";"Акбаев";1997-04-28;4711,99999630451;"Guarana Fantastica";"Напитки";"Chop-suey Chinese";"Швейцария";"Бразилия";202,5
"9";"Белова";1997-05-01;620;"Guarana Fantastica";"Напитки";"Blauer See Delikatessen";"Германия";"Бразилия";202,5
"10";"Бабкина";1997-06-13;1550;"Guarana Fantastica";"Напитки";"Galeria del gastrуnomo";"Испания";"Бразилия";202,5
"11";"Кралев";1997-07-24;3100;"Guarana Fantastica";"Напитки";"Du monde entier";"Франция";"Бразилия";202,5
"12";"Белова";1997-07-28;21700;"Guarana Fantastica";"Напитки";"Save-a-lot Markets";"США";"Бразилия";202,5
"13";"Ясенева";1997-08-27;4185;"Guarana Fantastica";"Напитки";"Hungry Owl All-Night Grocers";"Ирландия";"Бразилия";202,5
"14";"Белова";1997-09-10;6323,99995565414;"Guarana Fantastica";"Напитки";"Furia Bacalhau e Frutos do Mar";"Португалия";"Бразилия";202,5
"15";"Новиков";1997-09-22;620;"Guarana Fantastica";"Напитки";"Tortuga Restaurante";"Мексика";"Бразилия";202,5
"16";"Воронова";1997-09-29;6200;"Guarana Fantastica";"Напитки";"Gourmet Lanchonetes";"Бразилия";"Бразилия";202,5
"17";"Воронова";1997-10-01;5021,99999168515;"Guarana Fantastica";"Напитки";"Vaffeljernet";"Дания";"Бразилия";202,5
"18";"Белова";1997-10-22;5580;"Guarana Fantastica";"Напитки";"Save-a-lot Markets";"США";"Бразилия";202,5
"19";"Бабкина";1997-10-23;6510;"Guarana Fantastica";"Напитки";"Bon app'";"Франция";"Бразилия";202,5
"20";"Крылова";1997-10-30;4960;"Guarana Fantastica";"Напитки";"Mere Paillarde";"Канада";"Бразилия";202,5
"21";"Кралев";1997-12-12;1860;"Guarana Fantastica";"Напитки";"The Cracker Box";"США";"Бразилия";202,5
"22";"Белова";1997-12-18;3100;"Guarana Fantastica";"Напитки";"GROSELLA-Restaurante";"Венесуэлла";"Бразилия";202,5
"23";"Акбаев";1997-12-30;11160;"Guarana Fantastica";"Напитки";"Seven Seas Imports";"Великобритания";"Бразилия";202,5
"24";"Белова";1998-01-12;4650;"Guarana Fantastica";"Напитки";"Bon app'";"Франция";"Бразилия";202,5
"25";"Кротов";1998-01-20;4960;"Guarana Fantastica";"Напитки";"Supremes delices";"Бельгия";"Бразилия";202,5
"26";"Бабкина";1998-01-27;26349,9998152256;"Guarana Fantastica";"Напитки";"Ernst Handel";"Австрия";"Бразилия";202,5
"27";"Кротов";1998-02-06;3100;"Guarana Fantastica";"Напитки";"Godos Cocina Tipica";"Испания";"Бразилия";202,5
"28";"Белова";1998-02-13;21700;"Guarana Fantastica";"Напитки";"Hanari Carnes";"Бразилия";"Бразилия";202,5
"29";"Бабкина";1998-03-04;5579,99999076128;"Guarana Fantastica";"Напитки";"Berglunds snabbkop";"Швеция";"Бразилия";202,5
"30";"Белова";1998-03-12;7750;"Guarana Fantastica";"Напитки";"Vaffeljernet";"Дания";"Бразилия";202,5
"31";"Новиков";1998-03-13;9300;"Guarana Fantastica";"Напитки";"Bottom-Dollar Markets";"Канада";"Бразилия";202,5
"32";"Новиков";1998-04-14;6323,99995565414;"Guarana Fantastica";"Напитки";"Ottilies Kaseladen";"Германия";"Бразилия";202,5
"33";"Белова";1998-05-06;310;"Guarana Fantastica";"Напитки";"Rattlesnake Canyon Grocery";"США";"Бразилия";202,5
"34";"Воронова";1996-07-18;800;"Laughing Lumberjack Lager";"Напитки";"Centro comercial Moctezuma";"Мексика";"США";630
"35";"Воронова";1996-07-19;1600;"Laughing Lumberjack Lager";"Напитки";"Que Delicia";"Бразилия";"США";630
"36";"Ясенева";1996-07-23;28350;"Laughing Lumberjack Lager";"Напитки";"Ernst Handel";"Австрия";"США";630
"37";"Кротов";1996-10-18;719,999998807907;"Laughing Lumberjack Lager";"Напитки";"Wartian Herkku";"Финляндия";"США";630
"38";"Новиков";1996-11-29;359,999999403954;"Laughing Lumberjack Lager";"Напитки";"Ernst Handel";"Австрия";"США";630
"39";"Кротов";1996-12-27;679,999995231628;"Laughing Lumberjack Lager";"Напитки";"Princesa Isabel Vinhos";"Португалия";"США";630
"40";"Кралев";1997-01-07;2159,99999642372;"Laughing Lumberjack Lager";"Напитки";"Queen Cozinha";"Бразилия";"США";630
"41";"Бабкина";1997-01-09;960;"Laughing Lumberjack Lager";"Напитки";"Oceano Atlantico Ltda.";"Аргентина";"США";630
"42";"Воронова";1997-01-30;4000;"Laughing Lumberjack Lager";"Напитки";"Ernst Handel";"Австрия";"США";630
"43";"Крылова";1997-02-25;2719,99998092651;"Laughing Lumberjack Lager";"Напитки";"Koniglich Essen";"Германия";"США";630
"44";"Белова";1997-02-28;2400;"Laughing Lumberjack Lager";"Напитки";"LILA-Supermercado";"Венесуэлла";"США";630
"45";"Кротов";1997-03-17;1260;"Laughing Lumberjack Lager";"Напитки";"Princesa Isabel Vinhos";"Португалия";"США";630
"46";"Бабкина";1997-03-24;1120;"Laughing Lumberjack Lager";"Напитки";"B's Beverages";"Великобритания";"США";630
"47";"Воронова";1997-04-11;1200;"Laughing Lumberjack Lager";"Напитки";"White Clover Markets";"США";"США";630
"48";"Кралев";1997-04-22;3199,99998807907;"Laughing Lumberjack Lager";"Напитки";"Die Wandernde Kuh";"Германия";"США";630
"49";"Акбаев";1997-05-16;1500;"Laughing Lumberjack Lager";"Напитки";"B's Beverages";"Великобритания";"США";630
"50";"Кралев";1997-05-28;539,99999910593;"Laughing Lumberjack Lager";"Напитки";"Godos Cocina Tipica";"Испания";"США";630
"51";"Кралев";1997-07-24;600;"Laughing Lumberjack Lager";"Напитки";"Du monde entier";"Франция";"США";630
"52";"Крылова";1997-07-29;800;"Laughing Lumberjack Lager";"Напитки";"Blauer See Delikatessen";"Германия";"США";630
"53";"Бабкина";1997-08-04;4200;"Laughing Lumberjack Lager";"Напитки";"Mere Paillarde";"Канада";"США";630
"54";"Крылова";1997-08-07;2249,99999627471;"Laughing Lumberjack Lager";"Напитки";"Frankenversand";"Германия";"США";630
"55";"Кралев";1997-08-22;2399,9999910593;"Laughing Lumberjack Lager";"Напитки";"Simons bistro";"Дания";"США";630
"56";"Воронова";1997-09-05;6000;"Laughing Lumberjack Lager";"Напитки";"QUICK-Stop";"Германия";"США";630
